Company,Company Score,Job Title,Location,Date,Salary,Maximum Salary
AnaVation,3.5,Software Engineer IV - Java Fullstack,Indiana,30d+,$75K - $102K ,102000.0
Soar Technology,3.5,Mid-Level Software Engineer – HYBRID!,"Quantico, VA",30d+,$60K - $112K ,112000.0
Red Ventures,3.1,Autonomy Software Engineer,"Ann Arbor, MI",2d,$108K - $151K ,151000.0
CVS Health,4.1,Software Engineer | The Points Guy,"San Juan, PR",2d,$123K - $196K ,196000.0
"Messenger, LLC",4.4,Software Development ITAM Engineer,"Lansing, MI",5d,$116K - $166K ,166000.0
Nelnet,3.5,Software Developer,"Auburn, IN",3d,$59K - $107K ,107000.0
Slate Magazine,4.8,IT Software Engineer- NBS,"Lincoln, NE",24d,$104K - $163K ,163000.0
Adobe,3.5,Software Engineer,"Washington, DC",30d+,$68K - $80K ,80000.0
Airgas,4.1,Software Engineer,"Lehi, UT",12d,$83K - $107K ,107000.0
Umbra,3.9,Firmware Engineer,"Cheshire, CT",2d,$109K - $209K ,209000.0
Uber,3.8,Senior Software Engineer,"Santa Barbara, CA",5d,$97K - $197K ,197000.0
Collaborative Robotics,3.7,Software Engineer II - Uber Eats,"San Francisco, CA",27d,$57K - $96K ,96000.0
Werfen,3.3,"Software Engineer, Robotics","Santa Clara, CA",8d,$98K - $145K ,145000.0
Snapchat,4.3,"Software Development Engineer in Test, Digital Solutions","Bedford, MA",19d,$66K - $90K ,90000.0
"Canon Medical Research USA, Inc",3.7,"C++ Graphics Engineer, 1+ Years of Experience","New York, NY",2d,$55.00 - $60.00 Per Hour ,124800.0
Raytheon,4.0,Software Engineer,"Cambridge, MA",2d,$79K - $168K ,168000.0
Snapchat,3.8,Junior Software Engineer,"Annapolis Junction, MD",6d,$102K - $174K ,174000.0
Hudson River Trading,3.9,"Software Engineer, C++, 3+ Years of Experience","Los Angeles, CA",4d,$73K - $108K ,108000.0
Whisker,4.3,Systems Software Engineer,"New York, NY",30d+,$110K - $190K ,190000.0
Mastercard,3.1,Senior Software Engineer,"Auburn Hills, MI",30d+,$94K - $137K ,137000.0
Savannah River Mission Completion,3.6,SoftWare Engineer II,"O Fallon, MO",8d,$89K - $113K ,113000.0
Mill-Max,3.8,Associate Software Developer,"Aiken, SC",9d,$80K - $100K ,100000.0
Disney Entertainment & ESPN Technology,3.8,SOFTWARE ENGINEER TRAINEE,"Oyster Bay, NY",24d,$128K - $179K ,179000.0
Coca-Cola,4.2,Sr Software Engineer,"Seattle, WA",1d,$74K - $125K ,125000.0
Kaleido,4.1,Staff Software Engineer,"Atlanta, GA",4d,$90K - $187K ,187000.0
M&T Bank,3.7,Full Stack Engineer,"Raleigh, NC",5d,$143K - $256K ,256000.0
Lufburrow & Co,3.4,"Software Engineer - API, Java, Spring Boot","Buffalo, NY",30d+,$114K - $145K ,145000.0
Boost Tech,4.1,Software Engineer - Hybrid,"Havre de Grace, MD",30d+,$101K - $155K ,155000.0
BAE Systems,3.9,Senior Software Engineer (CRM),Remote,2d,$84K - $128K ,128000.0
VANTACA,4.5,Test Software Engineer,"Nashua, NH",4d,$100.00 Per Hour ,208000.0
Veracity Engineering,4.6,Software Engineer (multiple openings),"Fort Collins, CO",18d,$99K - $137K ,137000.0
AppLovin,4.7,SOFTWARE ENGINEER,"Washington, DC",5d,$15.69 Per Hour ,32635.2
M&T Bank,4.1,"Software Engineer II, C++ Backend","Palo Alto, CA",5d,$141K - $211K ,211000.0
CVS Health,4.2,Software Engineer II,"Wilmington, DE",30d+,$76K - $128K ,128000.0
Microsoft,4.1,Junior Software Developer (Java & Azure Cloud),"Woonsocket, RI",2d,$93K - $129K ,129000.0
Honda Research Institute USA,4.2,Senior Software Engineer,"Boston, MA",30d+,$86K - $145K ,145000.0
Activision,4.0,Software Engineer for Mobile Robots,"San Jose, CA",13d,$67K - $112K ,112000.0
thatgamecompany,3.6,Senior Software Engineer,"Santa Monica, CA",9d,$116K - $150K ,150000.0
BNY Mellon,4.0,Build Engineer,California,4d,$85K - $115K ,115000.0
Recruiting From Scratch,3.6,"Vice President, Back-End Engineer I","Lake Mary, FL",2d,$90K - $115K ,115000.0
"Akina, Inc.",3.9,Founding Software Engineer,"San Francisco, CA",3d,$92K - $156K ,156000.0
Vonnen,4.8,Software Engineer - 1 (Kubernetes/Python),"Annapolis Junction, MD",18d,$150K - $200K ,200000.0
Capgemini,4.5,Software Engineer,"Santa Clara, CA",9d,$95K - $147K ,147000.0
"Stefanini, Inc",3.6,Software Engineer - Redis,"Irving, TX",2d,$102K - $148K ,148000.0
Infosys,4.7,Software Engineer,"Dearborn, MI",25d,$40.00 - $60.00 Per Hour ,124800.0
"Link, LLC",4.9,Release Engineer,"Chicago, IL",9d,$86K - $109K ,109000.0
Autodesk,3.9,"Golang Software Engineer (VISTA BIGHITTER), BS+7, Telework","Annapolis Junction, MD",11d,$87K - $125K ,125000.0
BCT LLC,3.9,"Software Development Engineer, Platform Services",Oregon,6d,$75.00 - $80.00 Per Hour ,166400.0
JPMorgan Chase & Co,4.8,Software Engineer (ID),United States,4d,$142K - $183K ,183000.0
WR Systems,4.2,Software Engineer,"Jersey City, NJ",2d,$77K - $125K ,125000.0
Acuity Brands,3.5,Software Engineer,"Dahlgren, VA",3d,$162K - $244K ,244000.0
Cisco Systems,4.1,Software Engineer,"Conyers, GA",3d,$85K - $104K ,104000.0
WALGREENS,3.3,Software QA Engineer,"San Jose, CA",12d,$140K - $145K ,145000.0
"Vivint, Inc.",3.8,Senior Software Engineer,"Deerfield, IL",2d,$95K - $130K ,130000.0
Caelum Research Corporation,4.1,Sr. Software Engineer,"Lehi, UT",4d,$90K - $150K ,150000.0
Oracle,4.5,Software Engineer,"Carlisle, PA",22d,$140K - $150K ,150000.0
Fidelity Investments,3.8,Software Developer,"Redwood City, CA",24h,$183K - $297K ,297000.0
Colorado State University,4.5,Cloud Engineer,"Westlake, TX",9d,$120K - $140K ,140000.0
Bayer,2.3,Application Programmer Analyst/Developer I,"Fort Collins, CO",5d,$97K - $129K ,129000.0
USAA,3.9,Software Engineer II,"Indianola, PA",12d,$50K - $90K ,90000.0
Accenture Federal Services,3.1,Senior React/Javascript Software Engineer,"San Antonio, TX",1d,$74K - $122K ,122000.0
Gundersen Health System,5.0,Software Engineer,"Lorton, VA",13d,$85K - $150K ,150000.0
"JRC Integrated Systems, LLC",3.9,Software Engineer | Front End Developer,"Onalaska, WI",30d+,$82K - $114K ,114000.0
XL Softek,3.9,Software Engineer,"Washington, DC",11d,$107K - $150K ,150000.0
kasmo cloud solutions,4.0,Software Engineers,"Suwanee, GA",30d+,$215K - $220K ,220000.0
"ICR, Inc.",4.2,Software Engineer,"Carol Stream, IL",5d,$90K - $180K ,180000.0
Workday,4.0,"Software Engineer - Front End (Dashboard) - Aurora, CO","Aurora, CO",30d+,$130K - $160K ,160000.0
360care,3.0,"Sr Associate Software Engineer, Database as a Service","Atlanta, GA",5d,$75K - $126K ,126000.0
Amex,3.5,Software Engineer,"Louisville, KY",30d+,$79K - $119K ,119000.0
DKW Communications,3.5,Senior Engineer - Java - GO2 Unify,"Sunrise, FL",30d+,$125K - $150K ,150000.0
"SICK, Inc.",4.1,Senior Software Engineer,"Point Mugu NAWC, CA",4d,$77K - $102K ,102000.0
Antithesis,3.2,Software Engineer II,"Minneapolis, MN",3d,$102K - $138K ,138000.0
Rekuten Global,3.9,Junior Ruby on Rails Engineer,Remote,3d,$115K - $155K ,155000.0
Tencent,4.0,Senior Software Engineer,"Vienna, VA",2d,$84K - $132K ,132000.0
RealmOne,4.1,Software Engineer,"Beloit, WI",30d+,$80.00 Per Hour ,166400.0
Zoox,4.1,Security Software Engineer I,"Palo Alto, CA",6d,$80K - $108K ,108000.0
CyberCore Technologies,4.3,Software Engineer 1,Maryland,30d+,$148K - $230K ,230000.0
Synergy ECP,4.1,"Software Engineer, Workflow Orchestration","Foster City, CA",30d+,$81K - $101K ,101000.0
Innovative Defense Technologies (IDT),3.9,Software Engineer 3,"Annapolis Junction, MD",19d,$65K - $112K ,112000.0
VETERANS ENGINEERING INCORPORATED,4.1,Backend Python Software Engineer,"Annapolis Junction, MD",30d+,$88K - $117K ,117000.0
Solvere Technical Group,3.6,Software Engineer,"Fall River, MA",30d+,$10K - $20K ,20000.0
"IRALOGIX,Inc",3.9,Cloud Engineer,United States,10d,$111K - $153K ,153000.0
Nava,3.8,Software Engineer,"Indian Head, MD",2d,$91K - $126K ,126000.0
f5,3.6,Senior Software Engineer,"Pittsburgh, PA",4d,$125K - $140K ,140000.0
BAE Systems,4.5,Sr. Software Engineer,Remote,2d,$66K - $116K ,116000.0
Synergy ECP,3.4,Software Engineer III,"San Jose, CA",19d,$108K - $146K ,146000.0
GE HEALTHCARE,4.0,"Engineer, Junior Software","Lexington Park, MD",30d+,$90K - $130K ,130000.0
TC Energy,2.4,Software Engineer,"Annapolis Junction, MD",30d+,$80K - $90K ,90000.0
Principal Financial Group,4.3,"Senior Software Engineer (Hybrid, Onsite)","Milwaukee, WI",3d,$86K - $119K ,119000.0
Schlumberger,3.4,New Engineer-in-Training (NET) Rotational Program,"Houston, TX",6d,$120K - $250K ,250000.0
JBT Corporation,4.6,Back End Software Engineer,"Houston, TX",9d,$55K - $90K ,90000.0
FLASH Technology Group,4.2,Software Engineer,"San Mateo, CA",30d+,$84K - $157K ,157000.0
Innovative Defense Technologies (IDT),3.7,DevOps Engineer,"Chalfont, PA",30d+,$96K - $128K ,128000.0
Fairfax County Public Schools,4.2,Software Engineer I,"Laurel, MD",30d+,$106K - $125K ,125000.0
Scholarly,4.5,Software Engineer,United States,5d,$81K - $123K ,123000.0
Innovative Defense Technologies (IDT),3.0,Software Engineer (One Year Only),"Wilton Woods, VA",30d+,$92K - $131K ,131000.0
Burst Inc.,2.0,Software Engineer,"Seattle, WA",9d,$115K - $166K ,166000.0
USN Technical Associates,3.9,DevSecOps Software Engineer,"Fall River, MA",5d,$113K - $161K ,161000.0
SNC,2.8,Video Software Engineer,"Lexington, MA",11d,$160K - $385K ,385000.0
Decision Six,4.1,Contract Software Engineer,"Los Angeles, CA",5d,$62K - $102K ,102000.0
Laiba Technologies,4.4,Software Engineer II,"Southern Pines, NC",1d,$73K - $110K ,110000.0
Teamups,4.4,DevOps Engineer,"Newtown Square, PA",5d,$200K - $370K ,370000.0
Delta Dental Ins.,4.0,DO178C Software Engineer,"Everett, WA",30d+,$93K - $147K ,147000.0
Valkyrie Enterprises,4.1,Senior Software Engineer,"Seattle, WA",30d+,$69K - $107K ,107000.0
UiPath,3.7,Expert Software Engineer,"Alpharetta, GA",1d,$50K - $60K ,60000.0
Atlas Copco Tools & Assembly Systems LLC,3.7,Software Engineer (Job ID:3425),"Huntsville, AL",27d,$70K - $108K ,108000.0
ANB Sourcing LLC,3.8,Senior Software Engineer,"Bellevue, WA",9d,$102K - $134K ,134000.0
McIntire Solutions,4.5,Software Engineer,"Auburn Hills, MI",13d,$103K - $133K ,133000.0
Pennymac,4.6,Azure DevOps Engineer || Full time job.,Remote,2d,$50.00 Per Hour ,104000.0
Literati,3.7,Software Systems Engineer/DevOps Engineer,"Chantilly, VA",18d,$84K - $110K ,110000.0
"Rochester Software Associates, Inc.",4.1,Clojure Software Engineer,"Agoura Hills, CA",4d,$66K - $94K ,94000.0
Plaid,3.7,WordPress Full Stack Engineer (React),Texas,1d,$102K - $149K ,149000.0
TigerGraph,3.9,C# Software Developer,United States,10d,$187K - $197K ,197000.0
"Garmin International, Inc.",3.7,Experienced Software Engineer - Scaled Access,"New York, NY",30d+,$70K - $96K ,96000.0
Resilio Inc.,4.4,Software Engineer,"Redwood City, CA",5d,$100K - $110K ,110000.0
Candid,3.7,Software Certification Engineer 1 - Software Quality,"Salem, OR",25d,$83K - $116K ,116000.0
Amex,4.3,Technical Support Engineer (Endpoint Software),Virginia,9d,$100K - $250K ,250000.0
Radiance Technologies,4.4,Ecosystems Software Engineer,United States,17d,$100K - $115K ,115000.0
Fabletics,3.6,Engineer,"Phoenix, AZ",2d,$64K - $101K ,101000.0
Delta Dental Ins.,3.7,R&D Software Engineer,"Stennis Space Center, MS",30d+,$66K - $68K ,68000.0
Fractal Analytics,4.1,Sr. Software Engineer,California,24d,$79K - $117K ,117000.0
Microchip Technology,2.4,Expert Software Engineer,"Oakland, CA",1d,$140K ,140000.0
York Space Systems,4.2,Software Development Engineer,California,30d+,$118K - $169K ,169000.0
Software Productivity Strategists,3.3,Sr. Full Stack Software Engineer,"Greenwood Village, CO",3d,$130K - $270K ,270000.0
NeuroPace,4.2,Software Engineer,"Lincoln, NE",30d+,$110K - $157K ,157000.0
OceanFrogs,2.5,Software Engineer,"Rockville, MD",30d+,$93K - $130K ,130000.0
"iconectiv, LLC.",3.5,Full Stack Software Engineer,"Mountain View, CA",7d,$120K - $140K ,140000.0
The Aerospace Corporation,3.9,Full Stack Software Developer,"Duluth, GA",30d+,$94K - $160K ,160000.0
Fetch Package,4.8,Software Engineer (Oracle Database Expertise),"Bridgewater, NJ",4d,$101K - $144K ,144000.0
Zenith Services,4.7,Data Engineer / Software Engineer,"Chantilly, VA",30d+,$108K - $156K ,156000.0
Matthews International Corporation,3.9,Lead Front-End Software Engineer,"Austin, TX",4d,$74K - $100K ,100000.0
Oracle,2.9,React Native Engineer,"Bentonville, AR",30d+,$73K - $100K ,100000.0
NVIDIA,4.0,Software Engineer,"Apopka, FL",3d,$112K - $196K ,196000.0
PingWind,4.0,Software Developer,United States,1d,$98K - $137K ,137000.0
Versaterm,3.5,Senior Full-Stack Web Applications Software Engineer,"Santa Clara, CA",1d,$80K - $94K ,94000.0
Apollo Technology Solutions LLC,4.3,Software Developer*,"Scott Air Force Base, IL",9d,$89K - $130K ,130000.0
Navrit Creation,3.6,Software Engineer,"Lexington, SC",16d,$78K - $131K ,131000.0
Amazon.com Services LLC,5.0,Sr. Front End Engineer (React),"Charlotte, NC",2d,$65K - $107K ,107000.0
Schneider Electric,3.6,Freelance Web Developer,"Colony, AL",1d,$130K - $300K ,300000.0
Akira Technologies Inc.,3.7,"Software Dev Engineer, Modeling Software","Boston, MA",10d,$66K - $98K ,98000.0
CTC Group,4.2,Systems Application Engineer II - Software,"Secaucus, NJ",1d,$153K - $225K ,225000.0
Space Coast Intelligent Solutions,3.9,ServiceNow Software Engineer,"Washington, DC",9d,$69K - $103K ,103000.0
Credo,3.9,Python Developer,"Fort Meade, MD",6d,$83K - $114K ,114000.0
9th networks Inc,4.4,Software Engineer IV,"Melbourne, FL",30d+,$107K - $174K ,174000.0
Tuvoli,3.1,System Software Engineer,"San Jose, CA",3d,$78K ,78000.0
Walter P Moore,4.1,Go Lang/Platform Engineer,"Jersey City, NJ",3d,$175K - $265K ,265000.0
LinQuest Corporation,3.9,Senior Software Engineer,Massachusetts,16d,$53K - $107K ,107000.0
CodeSignal,3.8,Front-end Software Developer,"Washington, DC",17d,$60.00 - $80.00 Per Hour ,166400.0
Hewlett Packard,5.0,Software Engineer,"Beavercreek, OH",30d+,$86K - $128K ,128000.0
Dupli Envelope & Graphics,4.8,"Software Engineer, Innovation Lab","San Francisco, CA",18d,$165K - $215K ,215000.0
Coinbase,4.2,Software Quality Engineer,"Fort Collins, CO",10d,$165K - $215K ,215000.0
LSEG (London Stock Exchange Group),4.0,Software Support Engineer,"Syracuse, NY",3d,$102K - $138K ,138000.0
Inabia Software & Consulting Inc.,3.8,Software Engineer,Remote,12d,$76K - $175K ,175000.0
PMall,4.5,Full Stack Engineer,"Washington, DC",30d+,$96K - $118K ,118000.0
Alloy,4.0,Software Developer,"Bellevue, WA",30d+,$86K - $129K ,129000.0
QinetiQ US,3.9,Front-End Developer,"Burr Ridge, IL",10d,$160K - $385K ,385000.0
Caterpillar,4.0,Solutions Engineer,United States,3d,$184K - $337K ,337000.0
"Jason Pharmaceuticals, Inc.",4.0,Software Engineer,"McLean, VA",9d,$127K - $184K ,184000.0
IntelliBridge LLC,3.6,Software Engineer,"Peoria, IL",2d,$79K - $130K ,130000.0
Snyk,3.4,Sr Software Engineer,"Lehi, UT",10d,$120K - $207K ,207000.0
OpenAI,4.2,Software Engineer,"Washington, DC",10d,$112K - $152K ,152000.0
Vertex Professional Service LLC,2.7,Senior Software Engineer (Typescript/Go),"Boston, MA",2d,$130K - $158K ,158000.0
"deciBel Research, Inc.",2.7,"Software Engineer, Backend","San Francisco, CA",5d,$103K - $172K ,172000.0
OpenAI,4.4,"Software Engineer II (inSITE) - ""W-TRS""","Orlando, FL",2d,$82K - $209K ,209000.0
COMSOL Inc.,3.1,Mid-Level Software Engineer,"Huntsville, AL",25d,$116K - $174K ,174000.0
Infosys,3.8,"Full Stack Engineer, Leverage Engineering","San Francisco, CA",6d,$130K - $165K ,165000.0
Hero Facility Services,3.8,Software Developer – Ray Optics,"Burlington, MA",4d,$150K - $185K ,185000.0
QED Systems LLC,3.9,Junior Python Developer,"Charlotte, NC",2d,$98K - $209K ,209000.0
Kasasa,4.4,Entry Level Developer,"Melbourne, FL",3d,$102K - $204K ,204000.0
"Delta Air Lines, Inc.",3.7,SOFTWARE ENGINEER,"Aberdeen Proving Ground, MD",30d+,$125K - $140K ,140000.0
HAN IT,3.6,Senior Software Engineer (Hybrid),"Austin, TX",11d,$108K - $216K ,216000.0
Innovative Solutions and Support,3.9,Software Development Engineer,"Atlanta, GA",3d,$79K - $116K ,116000.0
Promega,4.8,Python Developer,"Morris Plains, NJ",3d,$67K - $128K ,128000.0
Revenue Management Solutions Llc,3.7,Software Verification Engineer,"Exton, PA",12d,$129K - $162K ,162000.0
Cityblock Health,3.8,"Software Engineer, Instrumentation","Madison, WI",16d,$90K - $110K ,110000.0
Astrion,3.7,DevOps Engineer,"Oklahoma City, OK",12d,$117K - $306K ,306000.0
Diverse Career Solutions,3.4,Staff Software Engineer,New York State,9d,$100K - $115K ,115000.0
Synergy ECP,4.2,Software Developer,"Eglin AFB, FL",17d,$87K - $142K ,142000.0
"ICR, Inc.",4.0,Sr. Software Engineer,Remote,3d,$92K - $132K ,132000.0
Broadridge,3.8,Software Engineer,"Columbia, MD",30d+,$105K - $160K ,160000.0
Zurn Elkay Water Solutions,5.0,"Software Systems Engineer - Mason, OH","Mason, OH",30d+,$144K - $196K ,196000.0
Florida State College at Jacksonville,4.2,Deployment Engineer (Hybrid),"Newark, NJ",9d,$69K - $91K ,91000.0
Q9Software,3.1,IoT Engineer,"Milwaukee, WI",27d,$80K - $110K ,110000.0
JPMorgan Chase & Co,3.8,Engineer IV Software,"Jacksonville, FL",27d,$100K - $153K ,153000.0
The Bank of New York Mellon Corporation,3.4,Entry Level to Senior Level Software Developers,"Germantown, MD",30d+,$170K - $200K ,200000.0
Cisco Systems,4.5,Software Engineer,"Jersey City, NJ",4d,$87K - $124K ,124000.0
Grand Canyon Education,4.0,2025 BNY Summer Internship Program - Engineering (Developer),"Pittsburgh, PA",6d,$185K - $206K ,206000.0
Captivation Software,3.3,Software Engineer,"San Jose, CA",30d+,$80K - $133K ,133000.0
DocuSign,4.6,Jr. Developer,"Phoenix, AZ",3d,$90K - $127K ,127000.0
"Canon Medical Research USA, Inc.",3.6,Software Engineer 0 - Java/React/Docker/AWS,"Annapolis Junction, MD",30d,$108K - $199K ,199000.0
Standard Bots,2.5,AI SaaS Engineer,"San Francisco, CA",1d,$62K - $102K ,102000.0
American AgCredit,4.1,Software Engineer,"Boston, MA",1d,$85K - $104K ,104000.0
KAPSCH,4.0,Software Quality Engineer,"Glen Cove, NY",11d,$73K - $127K ,127000.0
Prevail,3.9,DevOps Engineer,Remote,2d,$100K - $140K ,140000.0
DCS Corp,4.8,Software Engineer,"Chantilly, VA",30d+,$160K - $194K ,194000.0
Consensus Health,3.9,Software Engineer Video,"San Francisco, CA",5d,$107K - $145K ,145000.0
Rippling,4.2,Software Engineer,"Dayton, OH",3d,$74K - $131K ,131000.0
ACI Worldwide,4.0,Associate Software Engineer,"Lenexa, KS",5d,$240K ,240000.0
"Engineering Technology Associates, Inc.",5.0,Full Stack Engineer II (Frontend) - Benefits,"San Francisco, CA",2d,$16.00 - $46.00 Per Hour ,95680.0
Fusion Innovation,5.0,Software Engineer - Hybrid,"Norcross, GA",3d,$70K - $120K ,120000.0
"Clarity Innovations, LLC",4.1,Software Test Engineer,"Dearborn, MI",1d,$160K - $225K ,225000.0
RippleMatch Opportunities,3.9,Software Engineer,"Herndon, VA",30d+,$99K - $134K ,134000.0
Power3 Solutions and Partnering Companies,3.5,Jr. Java Software Engineer (SWE1) (PP) 228,"Annapolis Junction, MD",30d+,$102K - $143K ,143000.0
Datadog,3.9,"IMC - Software Engineer, application via RippleMatch","Chicago, IL",4d,$150K - $240K ,240000.0
PACCAR,4.2,Python Engineer,"Annapolis Junction, MD",10d,$160K - $170K ,170000.0
Front,4.1,Senior Software Engineer - Frontend - Sheets,United States,11d,$144K - $200K ,200000.0
Northrop Grumman,4.1,Vehicle Software and Diagnostics Tool Test Engineer,"Mount Vernon, WA",4d,$110K - $120K ,120000.0
Pegasystems,4.1,"Backend Software Engineer, Deliverability","San Francisco, CA",4d,$165K - $211K ,211000.0
Lawrence Berkeley National Laboratory,3.6,2024 Associate Software Engineer - Linthicum MD,"Linthicum, MD",1d,$92K - $116K ,116000.0
Cargill,3.5,"Associate Software Engineer, Services Engineering","Waltham, MA",3d,$65.00 Per Hour ,135200.0
Zoox,3.9,Optimization Software Engineer,"San Francisco, CA",30d+,$66K - $132K ,132000.0
GLOBALFOUNDRIES,3.7,"Associate Software Engineer - Technology Development Program, Summer 2025 - Atlanta, GA","Atlanta, GA",1d,$140K - $175K ,175000.0
TRU47,4.8,Software Engineer - Perception ML Ops,"Boston, MA",30d+,$169K - $225K ,225000.0
Schneider Electric,4.1,"Design Enablement Engineer, Software Engineering AI/Machine Learning (2024 New College Graduate)","Malta, NY",23d,$61K - $95K ,95000.0
Gopuff,3.2,Shopify Webmaster,Remote,3d,$90K - $125K ,125000.0
Gopuff,3.6,Software Development Test Engineer - Electrical IoT Devices,"Foxborough, MA",1d,$162K - $284K ,284000.0
Camelot Integrated Solutions Inc.,3.9,Senior Software Engineer - Delivery Tech,"Miami, FL",17d,$91K - $137K ,137000.0
CVS Health,5.0,Senior Software Engineer - Warehouse,"Miami, FL",17d,$160K - $175K ,175000.0
BOEING,4.6,Senior Software Engineer I,"Houston, TX",30d+,$177K - $323K ,323000.0
Publix,3.4,Software Engineer - Enterprise Identity Services,"Hartford, CT",11d,$133K - $193K ,193000.0
Experian,4.9,Software Engineer - Junior Level,"Annapolis Junction, MD",11d,$81K - $99K ,99000.0
OpenAI,4.3,Software Engineer – Customer Payments Support,"Lakeland, FL",20d,$85K - $95K ,95000.0
ByteDance,3.6,Staff Software Engineer (Remote),Texas,3d,$180K - $339K ,339000.0
Alterra Mountain Company,4.2,"Software Engineer, Full Stack","San Francisco, CA",6d,$163K - $200K ,200000.0
Experian,3.8,Senior Frontend Software Engineer - Customer Service Plateform - Seattle,"Seattle, WA",30d+,$85K - $150K ,150000.0
"Clarity Innovations, LLC",3.4,"Software Engineer, Mobile (React Native)","Denver, CO",13d,$80K - $110K ,110000.0
Amazon Advertising LLC,3.4,Senior Software Engineer (Remote),California,3d,$93K - $128K ,128000.0
BOEING,4.1,Junior Software Engineer (SWE1) (QC) TTO16-022,"Annapolis Junction, MD",30d+,$112K - $154K ,154000.0
Bose,4.1,"Software Quality Assurance Engineer (Level 6), Automotive",United States,11d,$155K - $221K ,221000.0
Macy’s,4.1,Front End/UI Mid-Level Software Engineer,"Annapolis Junction, MD",16d,$102K - $132K ,132000.0
Microsoft,5.0,DSP Software Engineer,"Framingham, MA",30d+,$80K - $111K ,111000.0
DraftKings,4.1,Lead Software Engineer - Supply Chain,"Johns Creek, GA",2d,$187K - $280K ,280000.0
GE Appliances,4.0,Software Engineer,"Redmond, WA",30d+,$105K - $155K ,155000.0
Quantum Systems Inc,4.1,"Senior Software Engineer, IOS",Remote,18d,$92K - $120K ,120000.0
"Kaseware, Inc.",4.1,Software Engineering Co-op_Summer 2025,"Louisville, KY",30d+,$230K - $280K ,280000.0
Microsoft,4.1,Software Engineer,"Moorpark, CA",19d,$94K - $128K ,128000.0
CVS Health,4.2,Software Engineer,"Denver, CO",27d,$129K ,129000.0
JBT Corporation,4.6,Software Engineer II - Automated Reasoning and Testing,"Redmond, WA",5d,$80K - $180K ,180000.0
Fanatics Inc.,3.9,Sr Software Development Engineer,"Buffalo Grove, IL",3d,$93K - $129K ,129000.0
Innovative Defense Technologies (IDT),4.1,Senior Software Engineer C++,"Chalfont, PA",30d+,$105K - $190K ,190000.0
Microchip Technology,4.0,"Software Engineer II, (Java/AWS)",United States,12d,$139K - $169K ,169000.0
"Crunchyroll, LLC",4.2,Frontend Software Engineer,"Mount Laurel, NJ",5d,$54K - $98K ,98000.0
Accrete.AI,3.7,Engineer I-Software,"San Jose, CA",23d,$55K - $186K ,186000.0
Roku,3.8,"Software Engineer III, Android","Culver City, CA",30d+,$101K - $139K ,139000.0
Early Warning Services,3.6,Machine Learning Engineer (Early Career),"New York, NY",19d,$88K - $120K ,120000.0
Workday,5.0,"Senior Software Engineer, Service Mesh","Boston, MA",5d,$129K - $202K ,202000.0
Grainger,4.1,"Software Engineer - Java, Zelle","Scottsdale, AZ",1d,$70K - $115K ,115000.0
Costco Wholesale,4.7,Front-End Engineer - Content Platform,"Boulder, CO",30d+,$91K - $134K ,134000.0
Mochi Health,3.5,Software Engineer IV (Success Factors - Employee Central Payroll),"Lake Forest, IL",1d,$92K - $124K ,124000.0
